Date,Price,Open,High,Low,Vol.,Change %
12/1/2019,"1,517.01","1,467.03","1,525.45","1,453.91",,3.63
11/1/2019,"1,463.90","1,513.32","1,515.81","1,445.61",,-3.26
10/1/2019,"1,513.16","1,472.30","1,518.81","1,459.00",,2.8
9/1/2019,"1,472.00","1,520.10","1,557.38","1,464.42",,-3.15
8/1/2019,"1,519.85","1,411.34","1,555.13","1,400.65",,7.52
7/1/2019,"1,413.55","1,392.83","1,452.96","1,381.84",,0.32
6/1/2019,"1,409.10","1,307.40","1,438.99","1,306.62",,7.96
5/1/2019,"1,305.25","1,283.59","1,307.11","1,266.18",,1.71
4/1/2019,"1,283.35","1,291.48","1,310.96","1,266.25",,-0.66
3/1/2019,"1,291.90","1,312.94","1,324.57","1,281.10",,-1.58
2/1/2019,"1,312.66","1,320.93","1,347.11","1,302.53",,-0.6
1/1/2019,"1,320.56","1,282.78","1,326.65","1,276.58",,2.95
12/1/2018,"1,282.73","1,223.19","1,284.34","1,221.22",,4.98
11/1/2018,"1,221.88","1,215.24","1,237.74","1,196.19",,0.64
10/1/2018,"1,214.14","1,192.19","1,243.63","1,183.24",,1.88
9/1/2018,"1,191.69","1,200.29","1,212.90","1,180.68",,-0.75
8/1/2018,"1,200.71","1,223.97","1,225.10","1,160.19",,-1.86
7/1/2018,"1,223.41","1,253.49","1,266.26","1,211.48",,-2.3
6/1/2018,"1,252.25","1,298.79","1,309.64","1,245.67",,-3.52
5/1/2018,"1,297.92","1,315.40","1,326.17","1,282.00",,-1.3
4/1/2018,"1,314.95","1,326.21","1,365.37","1,310.29",,-0.68
3/1/2018,"1,324.00","1,318.22","1,356.87","1,302.76",,0.48
2/1/2018,"1,317.66","1,345.08","1,361.97","1,306.99",,-2.01
1/1/2018,"1,344.70","1,302.62","1,366.26","1,302.60",,3.24
12/1/2017,"1,302.45","1,274.59","1,307.97","1,236.27",,2.2
11/1/2017,"1,274.36","1,270.94","1,299.44","1,265.49",,0.25
10/1/2017,"1,271.20","1,279.20","1,306.46","1,260.51",,-0.62
9/1/2017,"1,279.10","1,322.03","1,357.74","1,277.60",,-3.22
8/1/2017,"1,321.60","1,269.05","1,326.19","1,251.36",,4.14
7/1/2017,"1,269.05","1,241.76","1,271.29","1,204.73",,2.24
6/1/2017,"1,241.20","1,268.90","1,296.26","1,236.78",,-2.12
5/1/2017,"1,268.09","1,268.50","1,274.30","1,214.18",,0.03
4/1/2017,"1,267.65","1,248.30","1,295.66","1,243.69",,1.52
3/1/2017,"1,248.63","1,248.57","1,261.41","1,194.89",,0.01
2/1/2017,"1,248.52","1,210.60","1,264.18","1,198.04",,3.14
1/1/2017,"1,210.51","1,151.09","1,220.21","1,145.99",,5.13
12/1/2016,"1,151.46","1,173.01","1,188.09","1,122.69",,-1.81
11/1/2016,"1,172.70","1,276.90","1,337.85","1,170.72",,-8.19
10/1/2016,"1,277.28","1,317.83","1,319.93","1,241.46",,-2.93
9/1/2016,"1,315.80","1,309.35","1,353.03","1,302.33",,0.56
8/1/2016,"1,308.45","1,349.97","1,367.69","1,305.02",,-3.12
7/1/2016,"1,350.59","1,323.40","1,375.30","1,310.80",,2.18
6/1/2016,"1,321.78","1,215.85","1,358.47","1,206.02",,8.82
5/1/2016,"1,214.69","1,293.69","1,303.97","1,199.88",,-6.08
4/1/2016,"1,293.36","1,232.70","1,296.58","1,209.00",,4.98
3/1/2016,"1,231.95","1,238.19","1,282.90","1,208.55",,-0.47
2/1/2016,"1,237.76","1,117.85","1,261.17","1,116.24",,10.75
1/1/2016,"1,117.64","1,061.09","1,128.30","1,060.74",,5.35
12/1/2015,"1,060.91","1,064.55","1,089.13","1,046.22",,-0.29
11/1/2015,"1,064.02","1,141.74","1,143.10","1,052.84",,-6.83
10/1/2015,"1,142.00","1,115.15","1,191.11","1,104.72",,2.46
9/1/2015,"1,114.60","1,134.99","1,156.74","1,098.75",,-1.72
8/1/2015,"1,134.10","1,095.24","1,168.72","1,081.00",,3.53
7/1/2015,"1,095.40","1,173.10","1,175.43","1,077.45",,-6.55
6/1/2015,"1,172.20","1,190.90","1,205.88","1,162.84",,-1.48
5/1/2015,"1,189.75","1,184.55","1,232.60","1,170.64",,0.5
4/1/2015,"1,183.85","1,183.75","1,224.52","1,175.26",,0.06
3/1/2015,"1,183.10","1,213.90","1,223.60","1,143.18",,-2.43
2/1/2015,"1,212.55","1,281.44","1,285.67","1,191.16",,-5.48
1/1/2015,"1,282.80","1,183.88","1,306.50","1,168.75",,8.39
12/1/2014,"1,183.55","1,166.90","1,238.48","1,143.16",,1.41
11/1/2014,"1,167.04","1,173.60","1,207.94","1,132.13",,-0.59
10/1/2014,"1,173.92","1,209.24","1,255.43","1,161.53",,-2.88
9/1/2014,"1,208.74","1,287.05","1,290.32","1,204.65",,-6.09
8/1/2014,"1,287.07","1,282.00","1,322.93","1,273.41",,0.39
7/1/2014,"1,282.09","1,327.15","1,345.25","1,281.06",,-3.4
6/1/2014,"1,327.19","1,250.90","1,329.50","1,240.95",,6.12
5/1/2014,"1,250.69","1,291.65","1,315.82","1,242.24",,-3.14
4/1/2014,"1,291.29","1,284.25","1,331.34","1,268.52",,0.6
3/1/2014,"1,283.64","1,326.50","1,392.15","1,282.54",,-3.18
2/1/2014,"1,325.79","1,245.20","1,345.66","1,240.62",,6.64
1/1/2014,"1,243.19","1,207.76","1,278.40","1,199.29",,3.17
12/1/2013,"1,204.94","1,251.65","1,267.76","1,184.75",,-3.76
11/1/2013,"1,251.99","1,323.70","1,327.70","1,227.86",,-5.38
10/1/2013,"1,323.19","1,327.75","1,361.97","1,252.05",,-0.28
9/1/2013,"1,326.94","1,396.56","1,416.56","1,291.83",,-4.93
8/1/2013,"1,395.69","1,323.20","1,434.01","1,273.25",,5.54
7/1/2013,"1,322.49","1,234.10","1,348.30","1,207.88",,7.25
6/1/2013,"1,233.14","1,389.45","1,423.55","1,181.09",,-11.05
5/1/2013,"1,386.40","1,476.55","1,488.23","1,339.58",,-6.11
4/1/2013,"1,476.60","1,597.85","1,604.03","1,321.89",,-7.49
3/1/2013,"1,596.17","1,580.30","1,616.76","1,561.18",,1.04
2/1/2013,"1,579.76","1,663.80","1,684.88","1,555.10",,-5
1/1/2013,"1,662.99","1,675.05","1,696.38","1,626.40",,-0.68
12/1/2012,"1,674.34","1,714.00","1,723.48","1,635.61",,-2.34
11/1/2012,"1,714.40","1,720.55","1,754.68","1,672.74",,-0.36
10/1/2012,"1,720.55","1,771.09","1,796.19","1,698.89",,-2.86
9/1/2012,"1,771.22","1,692.12","1,787.74","1,685.62",,4.73
8/1/2012,"1,691.15","1,599.25","1,693.32","1,585.10",,4.79
7/1/2012,"1,613.90","1,599.30","1,629.71","1,554.95",,0.96
6/1/2012,"1,598.60","1,560.24","1,640.90","1,545.09",,2.43
5/1/2012,"1,560.70","1,666.75","1,673.20","1,529.00",,-6.23
4/1/2012,"1,664.36","1,668.53","1,681.14","1,612.28",,-0.27
3/1/2012,"1,668.90","1,696.20","1,726.21","1,628.29",,-1.55
2/1/2012,"1,695.20","1,738.39","1,790.80","1,688.49",,-2.54
1/1/2012,"1,739.43","1,566.15","1,747.79","1,564.91",,11.2
