observation_date,FEDFUNDS,% Change
2017-04-01,0.90,13.92
2017-05-01,0.91,1.11
2017-06-01,1.04,14.29
2017-07-01,1.15,10.58
2017-08-01,1.16,0.87
2017-09-01,1.15,-0.86
2017-10-01,1.15,0.00
2017-11-01,1.16,0.87
2017-12-01,1.30,12.07
2018-01-01,1.41,8.46
2018-02-01,1.42,0.71
2018-03-01,1.51,6.34
2018-04-01,1.69,11.92
2018-05-01,1.70,0.59
2018-06-01,1.82,7.06
2018-07-01,1.91,4.95
2018-08-01,1.91,0.00
2018-09-01,1.95,2.09
2018-10-01,2.19,12.31
2018-11-01,2.20,0.46
2018-12-01,2.27,3.18
2019-01-01,2.40,5.73
2019-02-01,2.40,0.00
2019-03-01,2.41,0.42
2019-04-01,2.42,0.41
2019-05-01,2.39,-1.24
2019-06-01,2.38,-0.42
2019-07-01,2.40,0.84
2019-08-01,2.13,-11.25
2019-09-01,2.04,-4.23
2019-10-01,1.83,-10.29
2019-11-01,1.55,-15.30
2019-12-01,1.55,0.00
