Date,U.S,% Change
Nov-18,55.65,-14.62
Dec-18,47.63,-14.41
Jan-19,48,0.78
Feb-19,52.6,9.58
Mar-19,57.46,9.24
Apr-19,63,9.64
May-19,59.73,-5.19
Jun-19,54.34,-9.02
Jul-19,56.47,3.92
Aug-19,53.63,-5.03
Sep-19,55.14,2.82
Oct-19,53.14,-3.63
Nov-19,54.96,3.42
Dec-19,58.41,6.28
